"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-26","4.92",,"0.00","0.0","0.0","83","98","73","  140","  150","14.1","16.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-27","8.50",,"0.00","0.0","0.0","83","93","77","  140","  130","18.1","23.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-28","5.14",,"0.00","0.0","0.0","81","92","71","  120","   60","16.1","23.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-29","3.80",,"0.00","0.0","0.0","80","94","70","  100","   60","14.1","21.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-09-30","5.37",,"0.00","0.0","0.0","80","94","69","  110","  100","16.1","19.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-01","7.61",,"0.00","0.0","0.0","81","92","72","  100","   90","17.0","21.9","    1",,,"    1"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-02","4.47",,"0.00","0.0","0.0","80","92","69","   90","  110","13.0","16.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-03","4.25",,"0.00","0.0","0.0","81","96","71","  170","  170","14.1","17.0","    1",,,"    1"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-04","5.37",,"0.00","0.0","0.0","81","97","72","  150","  150","14.1","16.1","    1",,,"    1"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-05","8.28",,"2.63","0.0","0.0","76","84","69","  100","  100","23.0","30.0","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-06","9.62",,"0.01","0.0","0.0","74","87","67","  120","  120","28.0","35.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-10-07","7.38",,"0.00","0.0","0.0","76","84","69","   40","   30","14.1","16.1",,,,
